# title: 2022-12-14 exclusion
# label: exclusion
# status: passed
# reason: candidate-aware exclusion copied from combined sensitivity with candidate bins set to candidate coupling
# frequency_axis_unit: Hz
# frequency_offset (MHz): 1.348568
# frequency_grid_RBW (Hz): 2
# columns: frequency_minus_offset, frequency, combined_limit, valid_mask, candidate_mask
# units: Hz, Hz, 1 / GeV, boolean_as_0_or_1, boolean_as_0_or_1
-118	1348450	1.376228944582e-10	1	0
-116	1348452	1.496422349772e-10	1	0
-114	1348454	1.544108951586e-10	1	0
-112	1348456	1.292811411843e-10	1	0
-110	1348458	1.368789891984e-10	1	0
-108	1348460	1.222744111059e-10	1	0
-106	1348462	1.213616917415e-10	1	0
-104	1348464	1.141082297738e-10	1	0
-102	1348466	1.485163628791e-10	1	0
-100	1348468	1.277690404652e-10	1	0
-98	1348470	1.081160911869e-10	1	0
-96	1348472	1.280109640733e-10	1	0
-94	1348474	1.256943555372e-10	1	0
-92	1348476	1.049975207147e-10	1	0
-90	1348478	1.011359220403e-10	1	0
-88	1348480	9.099907915588e-11	1	0
-86	1348482	9.373792882105e-11	1	0
-84	1348484	9.323372270268e-11	1	0
-82	1348486	2.140347992682e-10	1	0
-80	1348488	8.902567977180e-11	1	0
-78	1348490	8.960479496927e-11	1	0
-76	1348492	8.670809626428e-11	1	0
-74	1348494	8.331545976931e-11	1	0
-72	1348496	8.813740840728e-11	1	0
-70	1348498	8.308876364545e-11	1	0
-68	1348500	8.633754035981e-11	1	0
-66	1348502	7.791039620285e-11	1	0
-64	1348504	8.536541604802e-11	1	0
-62	1348506	7.578647243297e-11	1	0
-60	1348508	7.498451354795e-11	1	0
-58	1348510	7.620813291735e-11	1	0
-56	1348512	6.628971415993e-11	1	0
-54	1348514	6.775833329172e-11	1	0
-52	1348516	7.139615837538e-11	1	0
-50	1348518	6.100907602494e-11	1	0
-48	1348520	6.266983091351e-11	1	0
-46	1348522	6.501843002087e-11	1	0
-44	1348524	5.768801597457e-11	1	0
-42	1348526	5.932160040401e-11	1	0
-40	1348528	5.519799203206e-11	1	0
-38	1348530	4.921505595238e-11	1	0
-36	1348532	5.120961258979e-11	1	0
-34	1348534	4.736955347795e-11	1	0
-32	1348536	6.579227413410e-11	1	0
-30	1348538	4.270223912307e-11	1	0
-28	1348540	4.034639107331e-11	1	0
-26	1348542	3.684498258062e-11	1	0
-24	1348544	3.647052696114e-11	1	0
-22	1348546	3.612488205036e-11	1	0
-20	1348548	3.364116528002e-11	1	0
-18	1348550	3.249616968221e-11	1	0
-16	1348552	3.061101989555e-11	1	0
-14	1348554	2.935917322858e-11	1	0
-12	1348556	2.788392364676e-11	1	0
-10	1348558	2.639420578836e-11	1	0
-8	1348560	2.492799514675e-11	1	0
-6	1348562	2.213259384305e-11	1	0
-4	1348564	1.856514268183e-11	1	0
-2	1348566	1.595871762865e-11	1	0
0	1348568	1.409463209785e-11	1	0
2	1348570	1.279388238178e-11	1	0
4	1348572	1.365540368716e-11	1	0
6	1348574	1.333069735511e-11	1	0
8	1348576	1.384831423748e-11	1	0
10	1348578	1.258502007322e-11	1	0
12	1348580	1.336389281720e-11	1	0
14	1348582	1.640316598722e-11	1	0
16	1348584	2.096939175443e-11	1	0
18	1348586	2.616640982169e-11	1	0
20	1348588	2.894778086866e-11	1	0
22	1348590	3.269336843813e-11	1	0
24	1348592	3.468699842281e-11	1	0
26	1348594	4.082958817028e-11	1	0
28	1348596	4.708515979118e-11	1	0
30	1348598	4.755414170404e-11	1	0
32	1348600	4.920107792694e-11	1	0
34	1348602	4.954822707459e-11	1	0
36	1348604	5.466962575987e-11	1	0
38	1348606	5.536909562029e-11	1	0
40	1348608	6.011213132900e-11	1	0
42	1348610	6.161942721588e-11	1	0
44	1348612	6.013991732154e-11	1	0
46	1348614	6.665404425761e-11	1	0
48	1348616	6.657379959166e-11	1	0
50	1348618	6.970365886674e-11	1	0
52	1348620	7.261164060501e-11	1	0
54	1348622	1.571701823315e-10	1	0
56	1348624	7.618972360664e-11	1	0
58	1348626	7.733028630651e-11	1	0
60	1348628	7.878786047515e-11	1	0
62	1348630	7.561919495783e-11	1	0
64	1348632	7.949980265668e-11	1	0
66	1348634	8.374574218048e-11	1	0
68	1348636	7.936236883220e-11	1	0
70	1348638	8.770578611227e-11	1	0
72	1348640	8.252202983285e-11	1	0
74	1348642	8.038281332596e-11	1	0
76	1348644	8.628662637681e-11	1	0
78	1348646	9.948254455102e-11	1	0
80	1348648	8.938603827953e-11	1	0
82	1348650	8.962481495475e-11	1	0
84	1348652	9.601296492323e-11	1	0
86	1348654	1.012007403209e-10	1	0
88	1348656	9.715234787115e-11	1	0
90	1348658	9.962218707613e-11	1	0
92	1348660	9.649085827943e-11	1	0
94	1348662	1.068769590513e-10	1	0
96	1348664	9.952530050609e-11	1	0
98	1348666	9.936190606590e-11	1	0
100	1348668	1.085695364690e-10	1	0
102	1348670	1.107800719153e-10	1	0
104	1348672	1.018032395058e-10	1	0
106	1348674	1.271958993619e-10	1	0
108	1348676	1.237396286406e-10	1	0
110	1348678	1.597192913232e-10	1	0
112	1348680	1.339859207875e-10	1	0
114	1348682	1.371821246766e-10	1	0
116	1348684	1.576677172318e-10	1	0
118	1348686	1.305859070143e-10	1	0
