# title: 2022-12-23 exclusion
# label: exclusion
# status: passed
# reason: candidate-aware exclusion copied from combined sensitivity with candidate bins set to candidate coupling
# frequency_axis_unit: Hz
# frequency_offset (MHz): 1.348568
# frequency_grid_RBW (Hz): 2
# columns: frequency_minus_offset, frequency, combined_limit, valid_mask, candidate_mask
# units: Hz, Hz, 1 / GeV, boolean_as_0_or_1, boolean_as_0_or_1
-5993	1342575	nan	0	0
-5991	1342577	nan	0	0
-5989	1342579	nan	0	0
-5987	1342581	nan	0	0
-5985	1342583	nan	0	0
-5983	1342585	nan	0	0
-5981	1342587	nan	0	0
-5979	1342589	nan	0	0
-5977	1342591	nan	0	0
-5975	1342593	nan	0	0
-5973	1342595	nan	0	0
-5971	1342597	nan	0	0
-5969	1342599	nan	0	0
-5967	1342601	nan	0	0
-5965	1342603	nan	0	0
-5963	1342605	nan	0	0
-5961	1342607	nan	0	0
-5959	1342609	nan	0	0
-5957	1342611	nan	0	0
-5955	1342613	nan	0	0
-5953	1342615	nan	0	0
-5951	1342617	nan	0	0
-5949	1342619	nan	0	0
-5947	1342621	nan	0	0
-5945	1342623	nan	0	0
-5943	1342625	nan	0	0
-5941	1342627	nan	0	0
-5939	1342629	nan	0	0
-5937	1342631	nan	0	0
-5935	1342633	nan	0	0
-5933	1342635	nan	0	0
-5931	1342637	nan	0	0
-5929	1342639	nan	0	0
-5927	1342641	nan	0	0
-5925	1342643	nan	0	0
-5923	1342645	nan	0	0
-5921	1342647	nan	0	0
-5919	1342649	nan	0	0
-5917	1342651	nan	0	0
-5915	1342653	nan	0	0
-5913	1342655	nan	0	0
-5911	1342657	nan	0	0
-5909	1342659	nan	0	0
-5907	1342661	nan	0	0
-5905	1342663	nan	0	0
-5903	1342665	nan	0	0
-5901	1342667	nan	0	0
-5899	1342669	nan	0	0
-5897	1342671	nan	0	0
-5895	1342673	nan	0	0
-5893	1342675	nan	0	0
-5891	1342677	nan	0	0
-5889	1342679	nan	0	0
-5887	1342681	nan	0	0
-5885	1342683	nan	0	0
-5883	1342685	nan	0	0
-5881	1342687	nan	0	0
-5879	1342689	nan	0	0
-5877	1342691	nan	0	0
-5875	1342693	nan	0	0
-5873	1342695	nan	0	0
-5871	1342697	nan	0	0
-5869	1342699	nan	0	0
-5867	1342701	nan	0	0
-5865	1342703	nan	0	0
-5863	1342705	nan	0	0
-5861	1342707	nan	0	0
-5859	1342709	nan	0	0
-5857	1342711	nan	0	0
-5855	1342713	nan	0	0
-5853	1342715	nan	0	0
-5851	1342717	nan	0	0
-5849	1342719	nan	0	0
-5847	1342721	nan	0	0
-5845	1342723	nan	0	0
-5843	1342725	nan	0	0
-5841	1342727	nan	0	0
-5839	1342729	nan	0	0
-5837	1342731	nan	0	0
-5835	1342733	nan	0	0
-5833	1342735	nan	0	0
-5831	1342737	nan	0	0
-5829	1342739	nan	0	0
-5827	1342741	nan	0	0
-5825	1342743	nan	0	0
-5823	1342745	nan	0	0
-5821	1342747	nan	0	0
-5819	1342749	nan	0	0
-5817	1342751	nan	0	0
-5815	1342753	nan	0	0
-5813	1342755	nan	0	0
-5811	1342757	nan	0	0
-5809	1342759	nan	0	0
-5807	1342761	nan	0	0
-5805	1342763	nan	0	0
-5803	1342765	nan	0	0
-5801	1342767	nan	0	0
-5799	1342769	nan	0	0
-5797	1342771	nan	0	0
-5795	1342773	nan	0	0
-5793	1342775	nan	0	0
-5791	1342777	nan	0	0
-5789	1342779	nan	0	0
-5787	1342781	nan	0	0
-5785	1342783	nan	0	0
-5783	1342785	nan	0	0
